combination,features,n_features,n_samples,selector,model,mean_spearman,std_spearman,min_spearman,max_spearman
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,Ridge,0.0288,0.0615,-0.041,0.131
Audio,tcnj_audio_c|tcnj_audio_o,36,339,spearman_50,LinearRegression,0.0285,0.1228,-0.1275,0.1758
HandCrafted+DeepVisual,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT,41616,339,spearman_50,Ridge,0.0285,0.097,-0.0772,0.1568
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,Ridge,0.0285,0.097,-0.0772,0.1568
Audio,tcnj_audio_c|tcnj_audio_o,36,339,none,LinearRegression,0.0285,0.1228,-0.1275,0.1758
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,spearman_50,KF_GradientBoosting,0.0284,0.1128,-0.1127,0.1741
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,none,Ridge,0.0283,0.1233,-0.1133,0.1884
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_30,KF_MLP,0.0282,0.0786,-0.0582,0.146
EfficientNetB3,EfficientNetB3,4608,339,spearman_50,LinearRegression,0.0281,0.0603,-0.0424,0.1284
EfficientNetB3,EfficientNetB3,4608,339,none,KF_Ridge,0.0279,0.1166,-0.1311,0.1893
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_50,KF_GradientBoosting,0.0278,0.0836,-0.0507,0.1769
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,none,KF_GradientBoosting,0.0277,0.1231,-0.1217,0.2209
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_50,KF_LinearRegression,0.0275,0.0659,-0.0432,0.1261
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,none,KF_LinearRegression,0.0275,0.0659,-0.0432,0.1261
Audio+EmotionSemantic,tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,62,339,spearman_30,KF_LinearRegression,0.0275,0.0659,-0.0432,0.1261
ViT,ViT,2304,339,pca_30,MLP,0.0274,0.1494,-0.2214,0.2067
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_30,KF_Ridge,0.0273,0.0948,-0.0749,0.2037
HandCrafted,HSVHistogram|RGBHistogram|LBP,912,339,none,KF_LinearRegression,0.0272,0.1201,-0.1247,0.2117
DenseNet121,DenseNet121,3072,339,spearman_50,KF_MLP,0.0268,0.1247,-0.1487,0.2207
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,spearman_30,KF_Ridge,0.0268,0.0774,-0.0654,0.1693
VGG,VGG,12288,339,none,Ridge,0.0265,0.0817,-0.1196,0.1331
DeepVisual+Audio+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,40766,339,pca_50,KF_SVR,0.0265,0.1012,-0.157,0.1322
ResNet50,ResNet50,6144,339,pca_30,KF_LinearRegression,0.0264,0.1502,-0.1468,0.2539
HandCrafted+Audio+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,974,339,none,KF_Ridge,0.0264,0.051,-0.0531,0.0846
VGG,VGG,12288,339,none,SVR,0.0264,0.1136,-0.1709,0.1422
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_30,Ridge,0.0262,0.1256,-0.1173,0.2062
Audio,tcnj_audio_c|tcnj_audio_o,36,339,pca_30,LinearRegression,0.0262,0.1256,-0.1173,0.2062
DeepVisual+EmotionSemantic,AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,40730,339,none,GradientBoosting,0.0261,0.1211,-0.1594,0.1822
AlexNet,AlexNet,12288,339,spearman_50,KF_MLP,0.0257,0.1196,-0.2077,0.1146
All,HSVHistogram|RGBHistogram|LBP|R3D|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_audio_c|tcnj_audio_o|tcnj_emotion|tcnj_semantic,42190,339,none,KF_MLP,0.0257,0.1754,-0.3032,0.2175
EfficientNetB3,EfficientNetB3,4608,339,none,KF_LinearRegression,0.0253,0.0968,-0.1164,0.1492
EfficientNetB3,EfficientNetB3,4608,339,pca_30,KF_Ridge,0.0251,0.0913,-0.1353,0.1128
tcnj_audio_o,tcnj_audio_o,9,339,pca_30,KF_GradientBoosting,0.0251,0.1084,-0.1365,0.1479
tcnj_audio_o,tcnj_audio_o,9,339,pca_50,KF_GradientBoosting,0.0251,0.1084,-0.1365,0.1479
HandCrafted+DeepVisual+EmotionSemantic,HSVHistogram|RGBHistogram|LBP|AlexNet|DenseNet121|EfficientNetB3|ResNet50|VGG|ViT|tcnj_emotion|tcnj_semantic,41642,339,spearman_50,KF_Ridge,0.025,0.0653,-0.0383,0.1511
